epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.615,3.51787,4.57578,3.68516,0.08709,0.14421,0.04612,0.02067,2.68066,3.99584,2.92484,0.000237312,0.000237312,0.000237312
2,300.66,2.33243,3.05076,2.5103,0.52078,0.37656,0.38119,0.13158,2.25629,2.8276,2.43604,0.000472959,0.000472959,0.000472959
3,447.144,1.99889,2.25368,2.1618,0.74558,0.48472,0.56651,0.31247,1.84025,2.17738,2.09263,0.00070625,0.00070625,0.00070625
4,591.684,1.80872,1.83929,1.96209,0.76796,0.5303,0.62749,0.35159,1.77113,1.94607,1.99402,0.000703397,0.000703397,0.000703397
5,736.193,1.71975,1.61578,1.87315,0.82874,0.59015,0.70411,0.39263,1.75154,1.68822,1.9357,0.000699863,0.000699863,0.000699863
6,882.27,1.66066,1.48245,1.80221,0.84459,0.61464,0.72878,0.42388,1.66378,1.55892,1.8877,0.000696328,0.000696328,0.000696328
7,1028.23,1.60562,1.38205,1.7361,0.83453,0.66042,0.76387,0.44877,1.63159,1.41166,1.82521,0.000692794,0.000692794,0.000692794
8,1206.83,1.53597,1.28205,1.66809,0.85277,0.65872,0.7649,0.46424,1.60479,1.37439,1.82523,0.00068926,0.00068926,0.00068926
9,1357.29,1.5049,1.21412,1.6597,0.82744,0.66219,0.76923,0.432,1.70166,1.33302,1.84478,0.000685726,0.000685726,0.000685726
10,1505.75,1.46811,1.14255,1.62846,0.84067,0.67019,0.77017,0.40172,1.8409,1.4102,1.96586,0.000682191,0.000682191,0.000682191
11,1650.33,1.47944,1.12124,1.6119,0.8532,0.70309,0.81339,0.42768,1.734,1.3041,1.84447,0.000678657,0.000678657,0.000678657
12,1794.68,1.44057,1.0773,1.58413,0.86993,0.7282,0.82476,0.51931,1.44203,1.15829,1.64927,0.000675123,0.000675123,0.000675123
13,1940.28,1.40976,1.04767,1.54481,0.8818,0.74525,0.85354,0.5323,1.45388,1.10169,1.63878,0.000671588,0.000671588,0.000671588
14,2088.53,1.38986,1.00766,1.5474,0.90231,0.74301,0.85232,0.54311,1.42944,1.08675,1.61663,0.000668054,0.000668054,0.000668054
15,2232.15,1.376,0.9824,1.522,0.90697,0.75303,0.8689,0.54372,1.43405,1.05415,1.62586,0.00066452,0.00066452,0.00066452
16,2374.74,1.36962,0.96493,1.51615,0.88292,0.76355,0.85296,0.54278,1.39144,1.05898,1.60088,0.000660986,0.000660986,0.000660986
17,2517.63,1.35132,0.93775,1.49765,0.89044,0.79341,0.87736,0.55877,1.36945,1.02728,1.57019,0.000657451,0.000657451,0.000657451
18,2660.54,1.30322,0.89633,1.46815,0.91876,0.75065,0.86834,0.55188,1.38589,0.99936,1.57497,0.000653917,0.000653917,0.000653917
19,2802.72,1.31207,0.88519,1.47038,0.90925,0.78229,0.88833,0.59012,1.33805,0.96096,1.54161,0.000650383,0.000650383,0.000650383
20,2947.86,1.28287,0.86882,1.44437,0.90657,0.79239,0.88718,0.59387,1.31623,0.95315,1.53646,0.000646848,0.000646848,0.000646848
21,3092.08,1.29985,0.87856,1.45569,0.89055,0.7899,0.88608,0.5821,1.35249,0.96823,1.55048,0.000643314,0.000643314,0.000643314
22,3236.47,1.29507,0.84782,1.44853,0.90527,0.80618,0.8959,0.58623,1.34843,0.93539,1.55476,0.00063978,0.00063978,0.00063978
23,3386.29,1.2527,0.82658,1.42649,0.9063,0.81459,0.89733,0.59689,1.32865,0.89298,1.53011,0.000636245,0.000636245,0.000636245
24,3537.87,1.24175,0.80067,1.40145,0.9387,0.79685,0.90206,0.57942,1.38977,0.89067,1.55547,0.000632711,0.000632711,0.000632711
25,3688.57,1.23693,0.79278,1.4067,0.91036,0.80737,0.90305,0.59858,1.33102,0.89338,1.54354,0.000629177,0.000629177,0.000629177
26,3839.95,1.23686,0.78107,1.38719,0.92552,0.80925,0.90759,0.59017,1.34405,0.87435,1.53679,0.000625642,0.000625642,0.000625642
27,3990.39,1.24581,0.78368,1.4039,0.9397,0.81715,0.9123,0.62755,1.26704,0.83058,1.48749,0.000622108,0.000622108,0.000622108
28,4140.85,1.21796,0.76374,1.37932,0.93466,0.79538,0.9058,0.57573,1.41481,0.86721,1.58582,0.000618574,0.000618574,0.000618574
29,4291.67,1.24414,0.76895,1.40843,0.93509,0.82625,0.90975,0.614,1.30346,0.84163,1.51305,0.00061504,0.00061504,0.00061504
30,4444.96,1.19116,0.73376,1.38263,0.93069,0.81267,0.91557,0.61377,1.30413,0.84121,1.50417,0.000611505,0.000611505,0.000611505
31,4599.52,1.20115,0.74336,1.37698,0.94017,0.8383,0.9218,0.62937,1.27322,0.79981,1.48369,0.000607971,0.000607971,0.000607971
32,4750.62,1.19892,0.73144,1.38033,0.9312,0.82875,0.91788,0.61476,1.31939,0.81784,1.50735,0.000604437,0.000604437,0.000604437
33,4899.51,1.16831,0.7115,1.35813,0.92525,0.83397,0.92248,0.62925,1.28474,0.79673,1.49155,0.000600902,0.000600902,0.000600902
34,5043.84,1.166,0.7018,1.3509,0.93613,0.84239,0.92399,0.63968,1.25844,0.7812,1.47361,0.000597368,0.000597368,0.000597368
35,5188.28,1.16523,0.69945,1.33718,0.93825,0.83166,0.91887,0.62978,1.26242,0.79333,1.48156,0.000593834,0.000593834,0.000593834
36,5332.66,1.161,0.70003,1.33527,0.94736,0.83905,0.93111,0.64016,1.25851,0.77156,1.47462,0.0005903,0.0005903,0.0005903
37,5477.08,1.13301,0.68241,1.32179,0.94823,0.84378,0.93177,0.65112,1.23132,0.74845,1.46207,0.000586765,0.000586765,0.000586765
38,5621.38,1.1323,0.67723,1.32381,0.93683,0.84215,0.9287,0.64625,1.25391,0.75732,1.4808,0.000583231,0.000583231,0.000583231
39,5765.67,1.14492,0.67273,1.31987,0.93851,0.84199,0.93097,0.6525,1.2298,0.74061,1.45605,0.000579697,0.000579697,0.000579697
40,5910.09,1.1406,0.67953,1.32986,0.93648,0.8471,0.92291,0.62213,1.31479,0.77065,1.5002,0.000576162,0.000576162,0.000576162
41,6054.46,1.13099,0.67314,1.32896,0.95268,0.85913,0.93667,0.65485,1.21753,0.72357,1.44714,0.000572628,0.000572628,0.000572628
42,6198.81,1.11217,0.65575,1.29675,0.94848,0.83613,0.92985,0.6555,1.21631,0.73881,1.44974,0.000569094,0.000569094,0.000569094
43,6343.14,1.11825,0.65361,1.31118,0.93338,0.86156,0.93355,0.64529,1.26213,0.73353,1.49173,0.000565559,0.000565559,0.000565559
44,6487.41,1.11772,0.65151,1.30521,0.94989,0.8468,0.93388,0.65836,1.21055,0.72404,1.43953,0.000562025,0.000562025,0.000562025
45,6631.89,1.11121,0.64989,1.30285,0.93426,0.86057,0.93463,0.66348,1.21577,0.70962,1.45126,0.000558491,0.000558491,0.000558491
46,6776.41,1.08803,0.63265,1.28671,0.93291,0.8598,0.93667,0.65067,1.24942,0.7146,1.47335,0.000554956,0.000554956,0.000554956
47,6920.69,1.10045,0.63966,1.29584,0.95344,0.85386,0.93744,0.66244,1.20977,0.70079,1.44528,0.000551422,0.000551422,0.000551422
48,7065.06,1.07735,0.61709,1.27237,0.93813,0.86604,0.93208,0.65789,1.22984,0.69838,1.45872,0.000547888,0.000547888,0.000547888
49,7209.29,1.06455,0.60778,1.2724,0.93295,0.86472,0.93954,0.65979,1.21873,0.69563,1.44853,0.000544354,0.000544354,0.000544354
50,7353.71,1.06619,0.61583,1.27438,0.94604,0.8597,0.93644,0.66217,1.20775,0.69469,1.44636,0.000540819,0.000540819,0.000540819
51,7497.98,1.06556,0.61112,1.26919,0.93682,0.8577,0.93372,0.66707,1.20524,0.698,1.44069,0.000537285,0.000537285,0.000537285
52,7642.46,1.07458,0.61214,1.26941,0.94597,0.86018,0.93887,0.67155,1.19318,0.68588,1.43471,0.000533751,0.000533751,0.000533751
53,7786.84,1.04676,0.59226,1.25575,0.95284,0.86341,0.94015,0.67502,1.18318,0.68026,1.42221,0.000530216,0.000530216,0.000530216
54,7931.23,1.04894,0.60045,1.25853,0.95066,0.8746,0.94218,0.6664,1.21614,0.68421,1.44541,0.000526682,0.000526682,0.000526682
55,8075.43,1.05346,0.60262,1.25904,0.94307,0.87016,0.94196,0.66834,1.20284,0.68027,1.44457,0.000523148,0.000523148,0.000523148
56,8219.78,1.0656,0.59584,1.27019,0.94615,0.87203,0.93936,0.66244,1.22122,0.67219,1.44366,0.000519613,0.000519613,0.000519613
57,8366.76,1.05083,0.59853,1.25555,0.95202,0.86595,0.94242,0.68087,1.18881,0.66536,1.4334,0.000516079,0.000516079,0.000516079
58,8517.14,1.04182,0.58808,1.25104,0.9505,0.88275,0.9487,0.6775,1.19103,0.65213,1.42615,0.000512545,0.000512545,0.000512545
59,8667.69,1.03541,0.57812,1.23981,0.94762,0.87635,0.94698,0.68109,1.18165,0.65644,1.42251,0.000509011,0.000509011,0.000509011
60,8817.92,1.02276,0.57588,1.23887,0.95198,0.8751,0.94361,0.67377,1.19237,0.6545,1.42319,0.000505476,0.000505476,0.000505476
61,8969.16,1.02315,0.57885,1.23972,0.94735,0.87696,0.94696,0.68234,1.16977,0.65236,1.41123,0.000501942,0.000501942,0.000501942
62,9119.7,1.03279,0.57864,1.26103,0.94468,0.88185,0.94752,0.68188,1.17378,0.6452,1.42272,0.000498408,0.000498408,0.000498408
63,9272.09,1.00287,0.55806,1.21835,0.94281,0.8787,0.94429,0.67561,1.20192,0.64966,1.43423,0.000494873,0.000494873,0.000494873
64,9424.68,0.99938,0.55413,1.2198,0.94964,0.88227,0.94747,0.68369,1.18082,0.63876,1.42382,0.000491339,0.000491339,0.000491339
65,9575.08,1.00464,0.56141,1.22267,0.9456,0.89043,0.95171,0.67656,1.20065,0.63686,1.4359,0.000487805,0.000487805,0.000487805
66,9724.43,1.01174,0.56059,1.24586,0.95761,0.87491,0.94591,0.68289,1.17819,0.6352,1.42224,0.000484271,0.000484271,0.000484271
67,9874.3,1.01237,0.55701,1.21858,0.94004,0.89311,0.94387,0.68364,1.18644,0.63556,1.43133,0.000480736,0.000480736,0.000480736
68,10025.1,1.00506,0.55584,1.23426,0.94934,0.88616,0.94817,0.67884,1.19253,0.64614,1.43095,0.000477202,0.000477202,0.000477202
69,10176.4,0.99663,0.54993,1.22985,0.95017,0.88277,0.95056,0.68133,1.18994,0.62881,1.41942,0.000473668,0.000473668,0.000473668
70,10325.8,0.98569,0.54952,1.21179,0.93809,0.88628,0.94905,0.68354,1.18167,0.63556,1.42833,0.000470133,0.000470133,0.000470133
71,10475.8,0.96943,0.541,1.21004,0.95289,0.87876,0.94749,0.68434,1.17368,0.62975,1.42548,0.000466599,0.000466599,0.000466599
72,10625.2,0.99187,0.54285,1.22056,0.9539,0.88037,0.95184,0.68277,1.18353,0.62736,1.42712,0.000463065,0.000463065,0.000463065
73,10775,0.98311,0.5363,1.21406,0.95216,0.88223,0.94682,0.68896,1.17475,0.62147,1.43064,0.00045953,0.00045953,0.00045953
