epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8858,3.98043,5.07581,3.9848,0.00053,0.16,0.00035,8e-05,4.60667,4.8437,4.29215,0.000661417,0.000661417,0.000661417
2,105.27,3.16355,3.57762,3.28575,0.03284,0.16,0.01895,0.00349,3.56398,4.35106,3.34098,0.00132151,0.00132151,0.00132151
3,156.954,2.83423,2.85062,2.99087,0.14082,0.12,0.09248,0.01392,3.17791,3.30767,2.98439,0.001975,0.001975,0.001975
4,208.643,2.73818,2.51276,2.87519,0.3845,0.36,0.30094,0.07961,2.51045,2.4346,2.63319,0.0019703,0.0019703,0.0019703
5,260.241,2.52414,2.26739,2.74283,0.60733,0.49539,0.57401,0.15039,2.14351,2.15389,2.41256,0.0019604,0.0019604,0.0019604
6,311.901,2.39935,2.08419,2.61262,0.56809,0.24,0.34987,0.07127,2.17207,2.67771,2.31879,0.0019505,0.0019505,0.0019505
7,363.562,2.27449,1.91181,2.54878,0.38211,0.49501,0.3623,0.12506,1.92736,2.11021,2.34589,0.0019406,0.0019406,0.0019406
8,415.301,2.20499,1.87856,2.47044,0.23179,0.4,0.3441,0.11863,2.12727,2.06621,2.48094,0.0019307,0.0019307,0.0019307
9,469.29,2.09799,1.73102,2.39263,0.44734,0.64,0.50665,0.19751,2.02812,1.89524,2.43726,0.0019208,0.0019208,0.0019208
10,521.79,2.03608,1.74014,2.35892,0.71773,0.50899,0.6027,0.26934,1.8665,1.61038,2.10615,0.0019109,0.0019109,0.0019109
11,574.473,1.99496,1.60696,2.28637,0.66584,0.79712,0.68016,0.29962,2.03084,1.46684,2.23185,0.001901,0.001901,0.001901
12,625.491,1.87474,1.48093,2.20012,0.69577,0.73214,0.77997,0.38176,1.73826,1.34717,2.09052,0.0018911,0.0018911,0.0018911
13,676.479,1.8798,1.45365,2.16696,0.69988,0.68,0.69561,0.2954,2.04512,1.60634,2.27677,0.0018812,0.0018812,0.0018812
14,727.447,1.84351,1.46565,2.14589,0.70053,0.76,0.74188,0.38932,1.66741,1.39448,2.14796,0.0018713,0.0018713,0.0018713
15,778.464,1.76584,1.37637,2.0836,0.61796,0.68,0.68906,0.29907,1.58366,1.67214,1.95297,0.0018614,0.0018614,0.0018614
16,829.495,1.77424,1.40589,2.07985,0.83728,0.8,0.8608,0.38259,1.6555,1.28361,2.00584,0.0018515,0.0018515,0.0018515
17,880.548,1.83578,1.38118,2.11007,0.63923,0.68,0.7471,0.37977,1.75907,1.32749,2.10066,0.0018416,0.0018416,0.0018416
18,931.478,1.68607,1.2975,2.00371,0.80955,0.68011,0.77286,0.3899,1.76744,1.23657,2.12799,0.0018317,0.0018317,0.0018317
19,982.468,1.62892,1.22428,1.95823,0.76309,0.72,0.81509,0.40163,1.66632,1.26707,1.96131,0.0018218,0.0018218,0.0018218
20,1033.47,1.56685,1.13434,1.90741,1,0.66599,0.81178,0.3932,1.75342,1.30923,2.09219,0.0018119,0.0018119,0.0018119
21,1084.45,1.5738,1.19069,1.89328,0.94888,0.74291,0.82934,0.44489,1.85047,1.15788,2.03634,0.001802,0.001802,0.001802
22,1135.42,1.56116,1.15522,1.88058,0.79889,0.84,0.86981,0.46606,1.63078,1.11112,1.91912,0.0017921,0.0017921,0.0017921
23,1186.42,1.46575,1.08631,1.81323,0.84857,0.88,0.85005,0.51384,1.46553,1.02915,1.88565,0.0017822,0.0017822,0.0017822
24,1237.4,1.49455,1.07815,1.83622,0.89981,0.71856,0.80831,0.43382,1.6412,1.13616,1.91214,0.0017723,0.0017723,0.0017723
25,1288.37,1.47343,1.02659,1.80116,0.81094,0.76,0.84055,0.4667,1.51761,1.10182,1.90513,0.0017624,0.0017624,0.0017624
26,1339.29,1.47307,1.06528,1.80654,0.89908,0.71297,0.81347,0.44494,1.69821,1.25406,1.95545,0.0017525,0.0017525,0.0017525
27,1390.28,1.4848,1.08926,1.81848,0.8442,0.8673,0.85803,0.48834,1.42039,1.06276,1.87146,0.0017426,0.0017426,0.0017426
28,1441.19,1.4092,1.03159,1.73136,0.7864,0.8837,0.88887,0.51311,1.51302,1.03271,1.83056,0.0017327,0.0017327,0.0017327
29,1492.18,1.44901,1.01834,1.75292,0.81646,0.71204,0.80257,0.4489,1.35955,1.02799,1.80816,0.0017228,0.0017228,0.0017228
30,1543.11,1.35478,0.94413,1.70211,0.95228,0.76,0.89175,0.52328,1.54948,0.821,1.83252,0.0017129,0.0017129,0.0017129
31,1594.09,1.33942,0.93801,1.66468,0.9311,0.88,0.90798,0.58638,1.2855,0.83741,1.64968,0.001703,0.001703,0.001703
32,1645.1,1.38978,0.96955,1.69533,0.90183,0.88,0.91563,0.5589,1.46564,0.89045,1.76078,0.0016931,0.0016931,0.0016931
33,1696.02,1.35737,0.93214,1.67478,0.81507,0.92,0.90545,0.5592,1.31566,0.96014,1.70654,0.0016832,0.0016832,0.0016832
34,1746.97,1.34414,0.92359,1.65671,0.99063,0.8,0.88567,0.57469,1.35511,0.83119,1.69833,0.0016733,0.0016733,0.0016733
35,1797.92,1.39289,0.95312,1.67142,0.98946,0.88,0.92391,0.57409,1.3237,0.8495,1.6535,0.0016634,0.0016634,0.0016634
36,1848.88,1.32447,0.90926,1.64309,0.99653,0.84,0.94032,0.60022,1.44419,0.85732,1.8541,0.0016535,0.0016535,0.0016535
37,1899.87,1.3289,0.88613,1.65702,1,0.82996,0.89943,0.59537,1.29123,0.93284,1.62609,0.0016436,0.0016436,0.0016436
38,1950.79,1.33624,0.91233,1.60964,0.96872,0.84,0.90607,0.55465,1.25619,0.87499,1.55617,0.0016337,0.0016337,0.0016337
